Company Name, Phone, Email, Website
Accsys Technologies  (Arnhem),026-320 14 98,info@accsysplc.com,www.accsysplc.com
AD Productions B.V. (Heijningen),NaN,info@adinternationalbv.com,www.adinternationalbv.com
Air Liquide B.V. (Eindhoven),040-250 35 33,NaN,www.airliquide.nl
Air Liquide Nederland BV. (Botlek Rt.),0181-27 11 00,NaN,www.nl.airliquide.com
Air Liquide Technische Gassen B.V. (Terneuzen),NaN,NaN,www.airliquide.com
Akzo Nobel Car Refinishes B.V. (Sassenheim),071-308 20 02,cr.communications@akzonobel.com,www.akzonobel.com
Akzo Nobel Decorative Coatings B.V. (Sassenheim),071-308 20 02,media.relations@akzonobel.com,www.akzonobel.nl
Albemarle Catalysts Company B.V. (Amsterdam),020-634 76 51,NaN,www.albemarle.com
AnQore (Geleen),046-476 93 52,NaN,www.anqore.com
AnQore (Urmond),NaN,NaN,www.anqore.com
ARKEMA B.V. Location Brummen,0575-56 45 01,NaN,www.arkema.com
ARKEMA B.V. location Rotterdam,010-472 53 13,info@arkemagroup.com,www.arkema.com
ARKEMA B.V. Location Vlissingen,0113-61 29 84,NaN,www.arkema.com
Arlanxeo Netherlands B.V. (Geleen),046-467 51 65,NaN,NaN
Ashland Industries Nederland B.V.  (Barendrecht),010-497 58 98,NaN,www.ashspec.com
Ashland Industries Nederland B.V. (Zwijndrecht),078-612 09 17,NaN,www.ashland.com
Aspen Oss B.V.  (Locatie Corellistraat),NaN,NaN,NaN
Aspen Oss B.V.,NaN,NaN,NaN
Aspen Oss B.V.,NaN,NaN,NaN
Aspen Oss B.V.,NaN,NaN,www.aspenoss.com
AVEBE U.A. (Gasselternijveen),0598-39 78 92,info@avebe.com,www.avebe.com
AVEBE U.A. (Veendam),0598-66 42 73,NaN,www.avebe.com
AVEBE U.A. (Foxhol),0598-66 29 15,NaN,www.avebe.com
AVEBE U.A. Ter Apelkanaal (Ter Apelkanaal),0598-66 15 16,NaN,www.avebe.nl
